fullname,code,tel,shortname
重庆航空,OQ,95539,重庆航空
厦门航空公司,MF,8008582666,厦门航空
四川航空公司,3U,4008300999,四川航空
中国东方航空,MU,95530,东方航空
中国国际航空,CA,4008100999,中国国际航空
扬子江航空,Y8, ,扬子江航空
西部航空公司,PN,95071095,西部航空
海南航空,HU,8008768999,海南航空
深圳航空公司,ZH,95080,深圳航空
山东航空公司,SC,0531-96777,山东航空
中国联合航空公司,KN,4006100099,联合航空
春秋航空,9C,021-95524,春秋航空
成都航空,EU,028-66668888,成都航空
北京首都航空,JD,95071999,首都航空
中国南方航空,CZ,95539,南方航空
上海航空,FM,95530,上海航空
顺丰航空,O3, ,顺丰航空
奥凯航空公司,BK,022-4903464,奥凯航空
邮政航空,8Y, ,邮政航空
河北航空,NS,0311-96699,河北航空
吉祥航空,HO,021-95520,吉祥航空
长龙货航,GJ, ,长龙货航
昆明航空,KY,400-887-6737,昆明航空
全日空航空公司,NH,机场代理,全日空航空
亚洲航空,AK,,亚洲航空
沙特阿拉伯航空,SV,,沙特阿拉伯航空
马达加斯加航空,MD,,马达加斯加航空
印度尼西亚鹰航空,GA,,印尼鹰航
斯里兰卡航空,UL,,斯里兰卡航空
埃塞俄比亚航空,ET,,埃塞俄比亚航空
土耳其航空,TK,,土耳其航空
阿酋国际航空,EK,,阿酋国际航空
新加坡欣丰虎航空公司,TR,,新加坡欣丰虎
埃及航空,MS,,埃及航空
菲律宾宿雾太平洋航空公司,5J,,宿雾太平洋
卡塔尔航空航空公司,QR,,卡塔尔航空
捷星亚洲航空公司,3K,020-36066999,捷星亚洲
新加坡航空公司,SQ,南航代理,新加坡航空
马来西亚航空公司,MH,,马来西亚航空
大韩航空公司,KE,,大韩航空
韩亚航空公司,OZ,,韩亚航空
日本航空公司,JL,,日本航空
越南航空公司,VN,,越南航空
泰国国际航空公司,TG,,泰国国际
法国国际航空公司,AF,,法国国际
中华航空股份有限公司,CI,,中华航空
长荣航空股份有限公司,BR,,长荣航空
港龙航空有限公司,KA,,港龙航空
缅甸航空公司,8M,,缅甸航空
乌拉尔航空公司,U6,,乌拉尔航空
马丁航空公司,MP,95539,马丁航空
澳大利亚快达航空公司,QF,,澳洲快达航空公司
